,state,x,y
0,Alaska,-204,-170
1,Arkansas,57,-53
2,California,-297,13
3,Colorado,-112,20
4,Connecticut,297,96
5,Delaware,275,42
6,Florida,220,-145
7,Georgia,182,-75
8,Hawaii,-317,-143
9,Idaho,-216,122
10,Illinois,95,37
11,Indiana,133,39
12,Iowa,38,65
13,Kansas,-17,5
14,Kentucky,149,1
15,Louisiana,59,-114
16,Maine,319,164
17,Maryland,288,27
18,Massachusetts,312,112
19,Michigan,148,101
20,Minnesota,23,135
21,Mississippi,94,-78
22,Missouri,49,6
23,Montana,-141,150
24,Nebraska,-61,66
25,Nevada,-257,56
26,New Hampshire,302,127
27,New Jersey,282,65
28,New Mexico,-128,-43
29,New York,236,104
30,North Carolina,239,-22
31,North Dakota,-44,158
32,Ohio,176,52
33,Oklahoma,-8,-41
34,Oregon,-278,138
35,Pennsylvania,238,72
36,Rhode Island,318,94
37,South Carolina,218,-51
38,South Dakota,-44,109
39,Tennessee,131,-34
40,Texas,-38,-106
41,Utah,-189,34
42,Vermont,282,154
43,Virginia,234,12
44,Washington,-257,193
45,West Virginia,200,20
46,Wisconsin,83,113
47,Wyoming,-134,90
